Neighborhood,Type,County,Population 2010,Latitude,Longitude
Troy,City,Oakland,80980,42.564,-83.184
Farmington Hills,City,Oakland,79740,42.4853125,-83.3771553
Southfield,City,Oakland,71739,42.4733689,-83.2218731
Waterford,Charter Township,Oakland,71707,42.7022527,-83.402718
Rochester Hills,City,Oakland,70995,42.6583661,-83.1499322
West Bloomfield,Charter Township,Oakland,64690,42.5691999,-83.3821577
Pontiac,City,Oakland,59515,42.6491992,-83.2871582
Royal Oak,City,Oakland,57236,42.5086464,-83.1546493
Novi,City,Oakland,55224,42.47559,-83.4904917
Bloomfield,Charter Township,Oakland,41070,42.5755894,-83.2724331
Commerce,Charter Township,Oakland,40186,42.5758656,-83.4943828
Orion,Charter Township,Oakland,35394,42.7519754,-83.2799394
Independence,Charter Township,Oakland,34681,42.7461409,-83.3899413
White Lake,Charter Township,Oakland,30019,42.6541973,-83.5010519
Madison Heights,City,Oakland,29694,42.5036467,-83.102703
Oak Park,City,Oakland,29319,42.4630915,-83.1804828
Auburn Hills,City,Oakland,21412,42.6744769,-83.243547
Oxford,Charter Township,Oakland,20526,42.8247524,-83.2646624
Birmingham,City,Oakland,20103,42.5467012,-83.2113192
Ferndale,City,Oakland,19900,42.4605917,-83.1346478
Highland,Charter Township,Oakland,19202,42.6380864,-83.6171651
Oakland,Charter Township,Oakland,16779,42.7561,-83.1435
Hazel Park,City,Oakland,16422,42.4625362,-83.1040913
Milford,Charter Township,Oakland,15736,42.5936428,-83.5993856
Brandon,Charter Township,Oakland,15175,42.8489,-83.4003
